Sep 12 13:14:39 <host> systemd[1]: Started freetoken-bench2.service - FreeToken — nvidia/Qwen3.8-Flash-Next-NVFP4 (128k max-decode).
Sep 12 13:14:41 <host> bash[217641]: [2026-09-12|13:14:41] INFO     Parsed arguments:
Sep 12 13:14:41 <host> bash[217641]: ServerArgs(model_path='/home/user/models/qwen/Qwen3.8-Flash-Next-NVFP4', tp_info=DistributedInfo(rank=0, size=1), dtype=torch.bfloat16, max_running_req=1, attention_backend='qsa_sparse', moe_strategy='offload', quant_backend='moe.nvfp4=triton', ple_backend='disk', expert_load='auto', moe_cache_size=5489, moe_cache_rate=None, moe_cache_auto=False, kv_reserve_tokens=131072, moe_cache_policy='lru', moe_prefill_overlap=True, moe_prefill_hit_d2d=False, moe_collect_stats=False, moe_cpu_threads=0, moe_cpu_layers=None, moe_hybrid_max_fetch=-1, cuda_graph_bs=None, cuda_graph_max_bs=1, page_size=1, memory_ratio=0.92, linear_state_cache_ratio=2.0, swa_full_tokens_ratio=0.2, swa_num_pages_override=None, distributed_timeout=60.0, use_dummy_weight=False, use_pynccl=True, max_seq_len_override=131072, num_page_override=None, num_token_override=131072, max_extend_tokens=8192, cache_type='radix', offline_mode=False, decode_log_interval=40, special_token_ckpt=False, _unique_suffix='.pid=217641', server_host='0.0.0.0', server_port=8000, num_tokenizer=0, silent_output=False, shell_mode=False, served_model_name='Qwen3.8-Flash-Next-NVFP4', tool_call_parser='qwen3_coder', reasoning_parser='qwen3', sampling_defaults='model', max_output_tokens=None, enable_cache_report=False, cors_origins='tauri://localhost,http://tauri.localhost,http://localhost:1420', gpu=('0',), gpu_assigned=None)
Sep 12 13:14:41 <host> bash[217641]: [2026-09-12|13:14:41|initializer] INFO     --gpu 0 -> GPU-<redacted>
Sep 12 13:14:41 <host> bash[217641]: [2026-09-12|13:14:41|FrontendAPI] INFO     Default sampling config (source=model): temperature=1.0, top_k=20, top_p=0.95
Sep 12 13:14:41 <host> bash[217641]: INFO:     Started server process [217641]
Sep 12 13:14:41 <host> bash[217641]: INFO:     Waiting for application startup.
Sep 12 13:14:41 <host> bash[217641]: INFO:     Application startup complete.
Sep 12 13:14:41 <host> bash[217641]: INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
Sep 12 13:14:43 <host> bash[217704]: [2026-09-12|13:14:43|core|rank=0] WARNING  Page size is overridden to 64 for the qsa_sparse backend
Sep 12 13:14:43 <host> bash[217704]: [2026-09-12|13:14:43|core|rank=0] INFO     Resolved config: moe_strategy='offload', attention_backend='qsa_sparse', cache_type='hybrid_radix', page_size=64
Sep 12 13:14:43 <host> bash[217704]: [2026-09-12|13:14:43|core|rank=0] INFO     Free memory before loading model: 30.89 GiB
Sep 12 13:14:46 <host> bash[217704]: [755B blob data]
Sep 12 13:14:47 <host> bash[217704]: [2026-09-12|13:14:47|core|rank=0] INFO     PLE disk backend: io_uring, O_DIRECT, wait-sync
Sep 12 13:14:47 <host> bash[217704]: [2026-09-12|13:14:47|core|rank=0] INFO     MoE experts: nvfp4 via triton
Sep 12 13:14:47 <host> bash[217704]: [2026-09-12|13:14:47|core|rank=0] WARNING  expert banks: low free RAM -> serial build (avoids parallel-reader OOM; override with --expert-load parallel)
Sep 12 13:14:47 <host> bash[217704]: [2026-09-12|13:14:47|core|rank=0] INFO     expert banks: slow path (serial build)
Sep 12 13:23:15 <host> bash[217704]: [1K blob data]
Sep 12 13:23:16 <host> bash[217704]: [2026-09-12|13:23:16|core|rank=0] INFO     Allocating 131072 tokens for KV cache, K + V = 3.09 GiB
Sep 12 13:23:16 <host> bash[217704]: [2026-09-12|13:23:16|core|rank=0] INFO     qsa_sparse block top-k: triton qsa_block_topk
Sep 12 13:23:16 <host> bash[217704]: [2026-09-12|13:23:16|core|rank=0] INFO     Free memory after initialization: 2.99 GiB
Sep 12 13:23:16 <host> bash[217704]: [2026-09-12|13:23:16|core|rank=0] INFO     Start capturing CUDA graphs with sizes: [1]
Sep 12 13:23:16 <host> bash[217704]: [2026-09-12|13:23:16|core|rank=0] INFO     Free GPU memory before capturing CUDA graphs: 2.99 GiB
Sep 12 13:23:18 <host> bash[217704]: [413B blob data]
Sep 12 13:23:18 <host> bash[217704]: [2026-09-12|13:23:18|core|rank=0] INFO     Free GPU memory after capturing CUDA graphs: 2.85 GiB
Sep 12 13:23:19 <host> bash[217704]: [2026-09-12|13:23:19|core|rank=0] INFO     Scheduler is idle, waiting for new reqs...
Sep 12 13:23:19 <host> bash[217641]: [2026-09-12|13:23:19|FrontendAPI] INFO     API server is ready to serve on 0.0.0.0:8000
Sep 12 13:26:54 <host> bash[217641]: INFO:     127.0.0.1:55758 - "HEAD /metrics HTTP/1.1" 404 Not Found
Sep 12 13:26:54 <host> bash[217641]: INFO:     127.0.0.1:55758 - "GET /metrics HTTP/1.1" 404 Not Found
Sep 12 13:26:57 <host> bash[217641]: INFO:     127.0.0.1:55768 - "POST /v1/chat/completions HTTP/1.1" 200 OK
Sep 12 13:27:03 <host> bash[217704]: [2026-09-12|13:27:03|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.12, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 36.58
Sep 12 13:27:05 <host> bash[217704]: [2026-09-12|13:27:05|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.19, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3420.14
Sep 12 13:27:07 <host> bash[217704]: [2026-09-12|13:27:07|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.25, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3410.10
Sep 12 13:27:10 <host> bash[217704]: [2026-09-12|13:27:10|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.31, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3364.77
Sep 12 13:27:12 <host> bash[217704]: [2026-09-12|13:27:12|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.38, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3354.34
Sep 12 13:27:15 <host> bash[217704]: [2026-09-12|13:27:15|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.44, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3339.11
Sep 12 13:27:17 <host> bash[217704]: [2026-09-12|13:27:17|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.50, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3316.14
Sep 12 13:27:20 <host> bash[217704]: [2026-09-12|13:27:20|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.56, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3316.34
Sep 12 13:27:22 <host> bash[217704]: [2026-09-12|13:27:22|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.62, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3285.98
Sep 12 13:27:25 <host> bash[217704]: [2026-09-12|13:27:25|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.69, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3274.92
Sep 12 13:27:27 <host> bash[217704]: [2026-09-12|13:27:27|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.75, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3267.22
Sep 12 13:27:30 <host> bash[217704]: [2026-09-12|13:27:30|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.81, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3254.02
Sep 12 13:27:32 <host> bash[217704]: [2026-09-12|13:27:32|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.88, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3255.44
Sep 12 13:27:35 <host> bash[217704]: [2026-09-12|13:27:35|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.94, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3227.88
Sep 12 13:27:37 <host> bash[217704]: [2026-09-12|13:27:37|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 1.00, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 1, #queue-req: 0, input throughput (token/s): 3241.75
