Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),56.31,0.00,177.28,,,,,,54.98,,75.22,82.75,88.11,13.69
Active Decode Throughput Per User (tokens/sec/user),56.31,0.00,177.28,,,,,,54.98,,75.22,82.75,88.11,13.69
Active Prefill Throughput (tokens/sec),3316.15,3308.09,3335.18,,,,,,3314.86,,3321.66,3335.18,3335.18,7.56
Active Prefill Throughput Per User (tokens/sec/user),3316.15,3308.09,3335.18,,,,,,3314.86,,3321.66,3335.18,3335.18,7.56
Active Total Throughput (tokens/sec),3141.14,50.90,3335.18,,,,,,3314.86,,3321.66,3335.18,3335.18,734.79
Credit-to-Start Latency (ms),2.65,0.92,4.05,26.52,1.04,1.51,2.11,2.32,2.42,3.12,3.80,3.93,4.03,0.84
Decode Duration (ms),2237.42,2067.74,2474.88,22374.18,2074.77,2102.89,2138.03,2180.80,2220.76,2290.96,2329.27,2402.08,2460.32,104.90
E2E Output Token Throughput (tokens/sec/user),3.05,3.02,3.06,30.47,3.03,3.03,3.04,3.04,3.05,3.05,3.06,3.06,3.06,0.01
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.05,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.23
Effective Decode Throughput (tokens/sec),3.02,0.00,177.28,,,,,,0.00,,0.00,37.42,68.63,13.08
Effective Decode Throughput Per User (tokens/sec/user),3.02,0.00,177.28,,,,,,0.00,,0.00,37.42,68.63,13.08
Effective Latency (CO-aware) (ms),41683.68,41475.68,41992.03,416836.85,41480.39,41499.21,41522.73,41608.79,41694.34,41744.33,41783.69,41887.86,41971.19,136.27
Effective Prefill Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.23
Effective Prefill Throughput (tokens/sec),3137.84,0.00,3335.18,,,,,,3314.86,,3321.66,3335.18,3335.18,748.03
Effective Prefill Throughput Per User (tokens/sec/user),3137.84,0.00,3335.18,,,,,,3314.86,,3321.66,3335.18,3335.18,748.03
Effective Total Throughput (tokens/sec),3140.87,0.00,3335.18,,,,,,3314.86,,3321.66,3335.18,3335.18,735.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.70,129.00,130.00,1297.00,129.00,129.00,129.00,129.25,130.00,130.00,130.00,130.00,130.00,0.46
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.17,0.00,1.66,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.91,1.51,0.50
HTTP Connection Overhead (ms),0.29,0.00,2.88,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.58,2.62,0.86
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),27.02,26.96,27.06,270.23,26.97,26.98,27.00,27.01,27.03,27.04,27.05,27.06,27.06,0.03
HTTP Data Sent (KB),558.79,550.56,574.17,5587.87,550.85,551.99,553.42,554.28,556.71,561.24,567.95,571.06,573.54,6.83
HTTP DNS Lookup (ms),0.12,0.00,1.22,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.67,1.11,0.37
HTTP Duration (excl. conn) (ms),41680.98,41471.86,41989.59,416809.77,41476.53,41495.23,41518.60,41606.04,41692.64,41741.27,41781.40,41885.50,41968.77,136.68
HTTP Receiving (ms),41677.76,41468.64,41986.68,416777.62,41473.12,41491.01,41513.37,41603.17,41689.93,41738.14,41778.39,41882.54,41965.85,137.01
HTTP Sending (ms),0.31,0.11,1.92,3.15,0.11,0.11,0.12,0.13,0.14,0.15,0.33,1.12,1.76,0.53
HTTP Total Time (ms),41681.26,41471.86,41989.59,416812.65,41476.79,41496.52,41521.18,41606.04,41692.64,41741.27,41781.40,41885.50,41968.77,136.36
HTTP Waiting (TTFB) (ms),2.90,2.42,3.54,29.00,2.45,2.54,2.65,2.73,2.91,3.00,3.11,3.32,3.49,0.28
Input Sequence Length (tokens),130800.10,130800.00,130801.00,1308001.00,130800.00,130800.00,130800.00,130800.00,130800.00,130800.00,130800.10,130800.55,130800.91,0.30
Inter Chunk Latency (ms),17.76,9.94,36.94,22374.18,11.25,11.81,12.43,14.51,17.19,20.17,23.84,26.17,31.09,4.43
Inter Token Latency (ms),17.76,16.41,19.64,177.57,16.47,16.69,16.97,17.31,17.63,18.18,18.49,19.06,19.53,0.83
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),56.44,50.91,60.94,564.35,51.23,52.51,54.12,55.01,56.74,57.78,58.94,59.94,60.74,2.58
Prefill Throughput Per User (tokens/sec/user),3316.17,3308.09,3335.18,33161.67,3308.28,3309.03,3309.97,3310.27,3315.20,3318.61,3323.01,3329.10,3333.96,7.58
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),41680.78,41471.63,41989.30,416807.78,41476.31,41495.05,41518.48,41605.78,41692.41,41741.09,41781.21,41885.25,41968.49,136.67
Time to First Token (ms),39443.36,39218.30,39539.45,394433.59,39232.66,39290.10,39361.91,39414.16,39454.60,39513.39,39516.92,39528.18,39537.20,89.84
Time to Second Token (ms),31.53,27.80,36.94,315.27,27.92,28.38,28.96,29.44,31.40,32.99,33.85,35.40,36.63,2.54
